Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,ITEM0073,Bakery Products,2011,OUT010,Tier 2,Small,Supermarket Type2,0.078051817,2.1,2931,1
Regular,ITEM0111,Dairy Products,2019,OUT004,Tier 2,Small,Supermarket Type2,0.046549764,3.7,2967,2
Low Fat,ITEM0112,Beverages,2001,OUT002,Tier 2,Small,Supermarket Type2,0.042347398,0.9,1722,3
Regular,ITEM0118,Fruits and Vegetables,2001,OUT006,Tier 2,Small,Supermarket Type2,0.049030651,1,1195,5
Low Fat,ITEM0147,Beverages,2004,OUT008,Tier 2,Small,Supermarket Type2,0.013042299,4.5,254,3
Regular,ITEM0202,Bakery Products,2015,OUT006,Tier 2,Small,Supermarket Type2,0.020575626,1.3,517,3
Regular,ITEM0245,Fruits and Vegetables,2004,OUT007,Tier 2,Small,Supermarket Type2,0.01895764,0.8,1145,1
Low Fat,ITEM0284,Fruits and Vegetables,2018,OUT001,Tier 2,Small,Supermarket Type2,0.030283931,4,1737,5
Low Fat,ITEM0300,Bakery Products,2013,OUT002,Tier 2,Small,Supermarket Type2,0.057855757,1.1,2530,1
Low Fat,ITEM0371,Beverages,2018,OUT010,Tier 2,Small,Supermarket Type2,0.009585362,2.1,2584,5
Low Fat,ITEM0405,Dairy Products,2001,OUT007,Tier 2,Small,Supermarket Type2,0.073119987,1.2,414,2
Regular,ITEM0446,Beverages,2014,OUT008,Tier 2,Small,Supermarket Type2,0.071823754,1.4,1566,3
Regular,ITEM0463,Bakery Products,2005,OUT004,Tier 2,Small,Supermarket Type2,0.094038971,1.7,1710,2
Low Fat,ITEM0483,Fruits and Vegetables,2000,OUT001,Tier 2,Small,Supermarket Type2,0.038830594,1.8,2948,3
Regular,ITEM0527,Dairy Products,2009,OUT007,Tier 2,Small,Supermarket Type2,0.012396698,2.2,1738,4
Regular,ITEM0586,Beverages,2007,OUT009,Tier 2,Small,Supermarket Type2,0.083323563,0.2,1794,2
Regular,ITEM0595,Snacks,2016,OUT008,Tier 2,Small,Supermarket Type2,0.038123986,0.2,2522,5
Regular,ITEM0599,Snacks,2010,OUT006,Tier 2,Small,Supermarket Type2,0.090334479,0.6,2753,5
Low Fat,ITEM0607,Fruits and Vegetables,2001,OUT006,Tier 2,Small,Supermarket Type2,0.091169292,1.2,2794,4
Regular,ITEM0647,Fruits and Vegetables,2003,OUT006,Tier 2,Small,Supermarket Type2,0.029118027,1.1,724,4
Regular,ITEM0667,Bakery Products,2015,OUT005,Tier 2,Small,Supermarket Type2,0.028291669,2.7,1970,3
Low Fat,ITEM0682,Snacks,2004,OUT002,Tier 2,Small,Supermarket Type2,0.021969017,1.4,887,1
Low Fat,ITEM0689,Fruits and Vegetables,2003,OUT008,Tier 2,Small,Supermarket Type2,0.095561796,2.8,1950,5
Regular,ITEM0691,Fruits and Vegetables,2012,OUT010,Tier 2,Small,Supermarket Type2,0.095710974,3.4,418,5
Low Fat,ITEM0701,Bakery Products,2017,OUT003,Tier 2,Small,Supermarket Type2,0.069440162,2.2,932,3
Regular,ITEM0737,Beverages,2017,OUT006,Tier 2,Small,Supermarket Type2,0.082051524,4.8,595,1
Regular,ITEM0749,Fruits and Vegetables,2008,OUT010,Tier 2,Small,Supermarket Type2,0.098441233,1.8,1969,3
Regular,ITEM0760,Fruits and Vegetables,2019,OUT004,Tier 2,Small,Supermarket Type2,0.063051014,4.1,1926,0
Low Fat,ITEM0784,Bakery Products,2014,OUT005,Tier 2,Small,Supermarket Type2,0.038443959,0.6,398,3
Low Fat,ITEM0788,Beverages,2020,OUT003,Tier 2,Small,Supermarket Type2,0.027570067,0.7,423,3
